counterparty_id,is_true_match,watchlist_ent_num,perturbation_type,notes
CP-0180,0,,hard_negative:same_name_diff_dob,shares name with 10009
CP-0181,1,10010,word_order,
CP-0182,0,,clean,
CP-0183,0,,clean,format noise
CP-0184,0,,clean,
CP-0185,0,,clean:shared_token,
CP-0186,0,,clean:shared_token,
CP-0187,0,,clean,
CP-0188,0,,clean:shared_surname,
CP-0189,0,,clean,
CP-0190,0,,clean,
CP-0191,1,10001,typo,Al-Rashid->Al-Rasid
CP-0192,1,10029,legal_suffix,OOO->LLC
CP-0193,0,,clean:shared_token,
CP-0194,0,,hard_negative:same_name_diff_dob,shares name with 10012
CP-0195,0,,clean:shared_surname,
CP-0196,0,,clean,
CP-0197,0,,clean:shared_surname,
CP-0198,0,,clean:shared_surname,
CP-0199,0,,clean,format noise
CP-0200,0,,clean,
